n_steps,final_rec,death_rate,infection_period,final_inf,β_und,detection_time,deaths,peak,reinfection_probability,seed
100,0.0006666666666666666,0.02,14,0.0,0.2,3,0,0.0006666666666666666,0.1,42
100,0.028312159709618874,0.02,14,0.9716878402903811,0.5,3,245,1.0,0.1,42
100,0.0400976290097629,0.02,14,0.9599023709902371,0.2,7,132,0.9952846076119906,0.1,42
100,0.009380863039399626,0.02,14,0.9906191369606003,0.5,7,335,1.0,0.1,42
100,0.006899055918663762,0.02,14,0.9931009440813362,0.2,14,246,0.9992900248491303,0.1,42
100,0.0011346444780635401,0.02,14,0.9988653555219364,0.5,14,356,1.0,0.1,42
100,0.0006666666666666666,0.08,14,0.0,0.2,3,0,0.0006666666666666666,0.1,42
100,0.010431484115694643,0.08,14,0.9895685158843054,0.5,3,891,0.9983987189751802,0.1,42
100,0.03712480252764613,0.08,14,0.9628751974723538,0.2,7,468,0.9972144846796658,0.1,42
100,0.011538461538461539,0.08,14,0.9884615384615385,0.5,7,1180,1.0,0.1,42
100,0.0028735632183908046,0.08,14,0.9971264367816092,0.2,14,912,0.9995985547972702,0.1,42
100,0.0005485463521667581,0.08,14,0.9994514536478333,0.5,14,1177,1.0,0.1,42
