t,S,I,R
0.0,990,10,0
0.11085100734229908,989,11,0
0.4187381648895242,989,10,1
0.45704075115651627,989,9,2
0.619750782335655,988,10,2
0.6553540112973479,987,11,2
0.8076699615418362,986,12,2
0.885013150070719,985,13,2
0.9136460307932821,985,12,3
0.9396685677949925,984,13,3
1.0917930120484503,984,12,4
1.146351315282224,984,11,5
1.1768735666718546,983,12,5
1.2803170910206845,982,13,5
1.3082779501442605,982,12,6
1.3603910918504587,981,13,6
1.7162183305560266,981,12,7
2.050489182326593,981,11,8
2.0746149004883487,980,12,8
2.308655533418724,980,11,9
2.4938155533350845,979,12,9
2.5665500293605206,979,11,10
2.686160289236048,979,10,11
2.7652287946178777,979,9,12
3.076983434688252,979,8,13
3.130941265446277,978,9,13
3.259239571741394,978,8,14
3.55224043934754,977,9,14
4.061434100995311,976,10,14
4.140224195442022,976,9,15
4.275145566818727,976,8,16
4.663304253147834,976,7,17
4.6950793155361445,975,8,17
4.821108121918664,975,7,18
5.28814904204816,975,6,19
5.499419372472357,975,5,20
5.571777283547412,974,6,20
5.686295857804435,973,7,20
5.696523649582523,972,8,20
5.789323928147094,971,9,20
6.127705634740382,970,10,20
6.415069080311571,969,11,20
6.443241738739543,968,12,20
6.458283475677876,968,11,21
6.898426126353541,967,12,21
6.916884203700264,967,11,22
7.109707865228759,967,10,23
7.989840596503479,967,9,24
8.489217365937082,966,10,24
8.673537730841009,966,9,25
8.991504935562787,965,10,25
9.081500220248541,964,11,25
9.248555205978228,963,12,25
9.357276333751503,962,13,25
9.588736745013337,962,12,26
9.59281700674347,961,13,26
9.743034083855683,960,14,26
9.838428850487196,959,15,26
9.869761790890513,958,16,26
9.90600864841835,957,17,26
10.337609924939619,956,18,26
10.353310377501662,956,17,27
10.372477138193325,956,16,28
10.473424133525178,956,15,29
10.480516787750759,956,14,30
10.50960511618569,955,15,30
10.576592137322052,955,14,31
10.785817052900462,955,13,32
10.8582667343925,955,12,33
10.925603365244223,954,13,33
11.059489142976114,954,12,34
11.14481667241908,954,11,35
11.194624811607456,953,12,35
11.322395823695036,953,11,36
11.351672515984387,952,12,36
11.399023728727519,952,11,37
11.470770537398518,951,12,37
11.739496663800336,950,13,37
12.128485428243279,950,12,38
12.227026207730017,949,13,38
12.241147816491596,948,14,38
12.325288455429984,948,13,39
12.482369823901392,948,12,40
12.832383250958113,948,11,41
13.02841422676569,948,10,42
13.165919416739833,948,9,43
13.759996240981277,947,10,43
14.116143881430306,946,11,43
14.222800626780051,946,10,44
14.64184694700214,946,9,45
14.660020825258538,946,8,46
14.732037722345247,946,7,47
14.79224590050672,946,6,48
15.030309679590893,945,7,48
15.357640666076042,944,8,48
15.996070974363242,944,7,49
16.05421642355768,944,6,50
17.190687687195986,943,7,50
17.434094654651467,943,6,51
17.548317187688493,942,7,51
17.99697111892826,941,8,51
18.260297358738995,940,9,51
18.449459559318534,939,10,51
18.652441451260994,939,9,52
18.689640283301923,939,8,53
18.782638296110793,938,9,53
18.7926358322289,937,10,53
19.33898527329606,937,9,54
19.50126814481207,936,10,54
19.541823386900948,935,11,54
19.592852513356622,934,12,54
19.725415372239794,934,11,55
19.740778882775313,933,12,55
19.887131587284244,933,11,56
20.23011742347852,933,10,57
20.440549309214603,932,11,57
20.56947131649218,931,12,57
20.813420371076436,931,11,58
21.104846130249726,931,10,59
21.51030201772245,930,11,59
21.766896809505834,930,10,60
21.779389799531845,930,9,61
21.975990481683453,929,10,61
22.01069042637607,928,11,61
22.084445340021226,928,10,62
22.252491660609298,927,11,62
22.30764643039896,926,12,62
22.377839877872347,925,13,62
22.41464860495056,924,14,62
22.79588259783417,924,13,63
23.3469012120769,924,12,64
24.030158143081586,924,11,65
24.32410481056971,924,10,66
24.342732139155682,923,11,66
24.571942567150128,923,10,67
24.58634582712812,923,9,68
25.429001547646827,922,10,68
25.975843224831966,921,11,68
26.005989835253224,921,10,69
26.24335920769631,920,11,69
26.265602086911592,920,10,70
26.307136316581612,919,11,70
26.497075474220402,919,10,71
26.597651480983405,918,11,71
26.732457828540003,917,12,71
27.2993305824392,917,11,72
27.312347930782376,916,12,72
27.546297956995286,915,13,72
27.76720081081143,914,14,72
27.954660345409994,914,13,73
28.26223844548788,913,14,73
28.96078167616879,912,15,73
29.171272865583433,911,16,73
29.31534764241777,910,17,73
29.462482004026533,910,16,74
29.557635879723897,909,17,74
29.55841712080815,909,16,75
29.58415480237255,909,15,76
29.86505494710959,909,14,77
29.870566770085254,908,15,77
30.217666540458644,908,14,78
30.348963424406286,908,13,79
30.384135145528237,907,14,79
30.413395711951637,906,15,79
30.573875257322037,906,14,80
30.763243014812907,906,13,81
30.77034014512909,905,14,81
30.893056603037596,904,15,81
31.01749212581867,904,14,82
31.27415750894618,903,15,82
31.589554676678603,902,16,82
31.973294582776283,901,17,82
32.11859983095527,901,16,83
32.13015778767234,901,15,84
32.21869480735083,901,14,85
32.38873192147237,901,13,86
32.42764574843243,901,12,87
32.598697469305115,901,11,88
32.95680658614297,900,12,88
32.99729277975872,899,13,88
33.190305480902296,899,12,89
33.40254497612943,899,11,90
33.60738434450134,898,12,90
33.62764530237786,898,11,91
34.28909812086981,897,12,91
34.350617693191886,897,11,92
34.415928504341444,896,12,92
34.56632040218314,895,13,92
34.70730415792259,894,14,92
34.72032237195785,893,15,92
34.820588170124076,893,14,93
34.90023386852845,893,13,94
34.90106246961345,893,12,95
35.015199038087346,892,13,95
35.361054473633395,891,14,95
35.55061559976696,891,13,96
35.87457894774033,890,14,96
35.952607886976864,889,15,96
36.14471833722503,889,14,97
36.22842792339396,888,15,97
36.32381648463845,887,16,97
36.50582876927152,887,15,98
36.50880939904026,886,16,98
36.524233647730206,886,15,99
36.80659411365419,885,16,99
36.84878416285944,884,17,99
36.86433963141057,884,16,100
36.95399871415477,883,17,100
36.984726391222246,883,16,101
37.14266522663432,882,17,101
37.22555687246833,882,16,102
37.25858415699515,881,17,102
37.291357705429846,880,18,102
37.31760446166668,880,17,103
37.515569416766155,879,18,103
37.53762275781205,878,19,103
37.620867283753356,877,20,103
37.63439547679904,876,21,103
37.71731735437141,875,22,103
37.74999063092166,874,23,103
37.866246921304935,873,24,103
37.98797065132353,873,23,104
37.99053955223007,873,22,105
38.54005477678435,872,23,105
38.611009343732675,872,22,106
38.734060832146916,871,23,106
38.809715259101125,871,22,107
38.939102320774154,871,21,108
39.04287790410395,870,22,108
39.064231054748355,870,21,109
39.09134810805981,870,20,110
39.140721810388314,870,19,111
39.18642729977784,870,18,112
39.303670223277535,870,17,113
39.313275169021466,870,16,114
39.420346320237485,869,17,114
39.46844356260612,868,18,114
39.5433178444203,867,19,114
39.662306210561006,866,20,114
39.737231384119895,865,21,114
39.81951175366735,865,20,115
39.86487837364707,865,19,116
39.98763433739248,864,20,116
