t,S,I,R
0.0,990,10,0
0.11085100734229908,989,11,0
0.16679394570170172,988,12,0
0.24966354642504507,987,13,0
0.31507864996812335,986,14,0
0.3289764501688108,985,15,0
0.33011388702158856,984,16,0
0.40718379213397826,983,17,0
0.4187381648895242,983,16,1
0.42266415530554635,983,15,2
0.45704075115651627,983,14,3
0.6198097507909551,982,15,3
0.6203771761224564,981,16,3
0.6230087878899192,980,17,3
0.6548820427075952,979,18,3
0.8044320508145452,978,19,3
0.8371896453476307,977,20,3
0.8438941714889395,976,21,3
0.9136460307932821,976,20,4
0.9993712819261054,975,21,4
1.050816946192455,974,22,4
1.0788419835811118,974,21,5
1.088555101321159,974,20,6
1.145879346692471,974,19,7
1.175808231441395,973,20,7
1.243065378211098,972,21,7
1.2808148444959806,971,22,7
1.3082779501442605,971,21,8
1.331810715679086,970,22,8
1.362300597577967,969,23,8
1.3817163730718396,968,24,8
1.4543165720612468,967,25,8
1.473743209621919,966,26,8
1.576093915895611,965,27,8
1.584587257977123,964,28,8
1.6171999250271356,964,27,9
1.6310194782620995,963,28,9
1.7014687352525597,962,29,9
1.7162183305560266,962,28,10
1.8188467983455863,961,29,10
1.8986953657398342,960,30,10
1.9038471913646788,959,31,10
1.9120850481111678,958,32,10
1.9129898172350501,957,33,10
1.9244381600698048,956,34,10
2.0186729498778977,955,35,10
2.0433689867776343,955,34,11
2.0505481507818932,955,33,12
2.0663600219931904,954,34,12
2.146987505741259,953,35,12
2.1693304613583133,952,36,12
2.191673627188197,951,37,12
2.2107276509419895,950,38,12
2.212020025460275,950,37,13
2.2154932405360843,950,36,14
2.256479876104969,950,35,15
2.3075901981882643,950,34,16
2.3348353848613312,949,35,16
2.354733495606265,948,36,16
2.3987489335569516,947,37,16
2.4125528408639627,946,38,16
2.4663112243248744,945,39,16
2.467508780758296,945,38,17
2.4727862331528705,944,39,17
2.4854975143945017,944,38,18
2.5665500293605206,944,37,19
2.569319509245148,943,38,19
2.5761260659907284,942,39,19
2.58084895023226,942,38,20
2.5963218802932957,941,39,20
2.6501766067058954,941,38,21
2.686160289236048,941,37,22
2.6923051926453843,940,38,22
2.701624207460354,940,37,23
2.707236921332046,940,36,24
2.734085853737836,939,37,24
2.7341683536276413,938,38,24
2.7796199764422442,937,39,24
2.788251608925509,937,38,25
2.7901847382331324,937,37,26
2.894570944811511,937,36,27
2.9292757799231683,936,37,27
2.930881111638826,935,38,27
2.933477035338663,934,39,27
2.935027579577691,933,40,27
2.943937463163635,932,41,27
2.9489314461960574,932,40,28
3.0242960058282375,931,41,28
3.0256014224152885,931,40,29
3.034806361782635,930,41,29
3.062675011904158,930,40,30
3.076983434688252,930,39,31
3.081239782644835,929,40,31
3.0911276852927423,928,41,31
3.1374383986757834,928,40,32
3.1815893024217403,927,41,32
3.2062773641085696,926,42,32
3.209422391143368,925,43,32
3.243283658190168,925,42,33
3.259239571741394,925,41,34
3.288522954107739,924,42,34
3.320302513500334,924,41,35
3.334444492143955,924,40,36
3.3530357342423525,924,39,37
3.3925562482600347,923,40,37
3.42195862807378,923,39,38
3.537121469620639,923,38,39
3.540637683393921,922,39,39
3.555233352420801,921,40,39
3.561800746508732,921,39,40
3.6062202440998594,920,40,40
3.6122445713400144,920,39,41
3.6587551432838032,920,38,42
3.6676023081740654,919,39,42
3.6731472864626418,918,40,42
3.719617483525762,917,41,42
3.797650303426786,916,42,42
3.8464334044931885,916,41,43
3.8514998956197255,916,40,44
3.8588289742932234,916,39,45
3.8604629240506645,916,38,46
3.8623022904385453,915,39,46
3.916012321536017,915,38,47
3.919901596843728,914,39,47
3.942043898038312,913,40,47
3.969663105692912,913,39,48
4.0227685454544755,912,40,48
4.037382261671083,911,41,48
4.078928215614836,911,40,49
4.087415492153607,911,39,50
4.143629058661042,910,40,50
4.1580729749361875,909,41,50
4.161981164462458,908,42,50
4.232862311300034,907,43,50
4.287691160781007,906,44,50
4.324037682884431,905,45,50
4.368543051579571,904,46,50
4.371091535313592,903,47,50
4.393116835792541,903,46,51
4.414066722987214,902,47,51
4.583172416103149,901,48,51
4.59435224340433,901,47,52
4.611853109600591,900,48,52
4.622527876514427,900,47,53
4.659676804295782,899,48,53
4.710417442080794,898,49,53
4.711544046613566,897,50,53
4.759890616086553,896,51,53
4.763851316614981,896,50,54
4.764822468401588,896,49,55
4.777455677556093,895,50,55
4.8054202537359165,894,51,55
4.811275685610597,893,52,55
4.820747875013328,893,51,56
4.821108121918664,893,50,57
4.823313820608742,892,51,57
4.842050957132787,891,52,57
4.8531638365231435,890,53,57
4.8548572334289934,889,54,57
4.858246892723286,889,53,58
4.865135522625322,888,54,58
4.901218436170463,887,55,58
4.902102551454576,886,56,58
4.925407867486694,886,55,59
4.927109828885784,885,56,59
4.9412152248982935,884,57,59
4.941812956732565,884,56,60
4.947695352647083,884,55,61
4.958033441238668,883,56,61
4.960790178610204,882,57,61
4.96270493777303,881,58,61
5.020627672034543,881,57,62
5.036876859383108,880,58,62
5.056330644542154,879,59,62
5.064495204745726,878,60,62
5.064855120264054,878,59,63
5.071062481188668,877,60,63
5.076006567543969,877,59,64
5.08295356090557,876,60,64
5.123244279978412,876,59,65
5.151005958657687,876,58,66
5.15108940179704,876,57,67
5.158552637891765,875,58,67
5.16562116300763,874,59,67
5.198789644584606,873,60,67
5.219299529626792,872,61,67
5.221896039779944,871,62,67
5.224708891206752,870,63,67
5.258713148639651,869,64,67
5.264790943374282,868,65,67
5.2656404054925945,867,66,67
5.266606291542199,866,67,67
5.2805169812771915,866,66,68
5.326957441889528,865,67,68
5.332534656035234,864,68,68
5.363113028814312,863,69,68
5.363764678632808,862,70,68
5.369009419714372,861,71,68
5.376037986061532,861,70,69
5.423114766290398,860,71,69
5.481541962501604,860,70,70
5.488870595232262,860,69,71
5.516328053407469,860,68,72
5.543787181229993,859,69,72
5.554020817013667,859,68,73
5.558020477299888,859,67,74
5.572807203397717,858,68,74
5.599236268672169,858,67,75
5.632957433766116,858,66,76
5.635809394133995,857,67,76
5.6446029656213454,856,68,76
5.651764898465039,855,69,76
5.69079402062477,854,70,76
5.703771026894748,854,69,77
5.714449985700537,853,70,77
5.715637055898008,853,69,78
5.7279390570833995,852,70,78
5.7875830426491435,851,71,78
5.801248206959075,850,72,78
5.829175522829219,849,73,78
5.840925056744042,849,72,79
5.874294943621692,848,73,79
5.8856396003972895,847,74,79
5.888994809036503,846,75,79
5.895237560985968,846,74,80
5.910531843788916,845,75,80
5.91156205040344,844,76,80
5.9283600442449185,843,77,80
5.959148720018119,843,76,81
5.962382963086862,843,75,82
5.9629545914901545,842,76,82
5.987029182946712,841,77,82
5.989581542643953,840,78,82
5.995047664344648,839,79,82
6.002313585772425,839,78,83
6.039371926304218,838,79,83
6.098064587428965,837,80,83
6.099176331068509,837,79,84
6.105930224851291,836,80,84
6.115907165044147,835,81,84
6.117458464623016,834,82,84
6.144566999237018,833,83,84
6.157503510762123,832,84,84
6.1626801954102515,831,85,84
6.175694477837812,830,86,84
6.192274886581494,829,87,84
6.2168773567953695,828,88,84
6.233635436995532,827,89,84
6.23615986793901,826,90,84
6.252988882811181,825,91,84
6.336773418985655,825,90,85
6.339184861613077,825,89,86
6.339489974713152,825,88,87
6.34117489236109,824,89,87
6.355787740031368,823,90,87
6.357559242157255,823,89,88
6.372160541451036,822,90,88
6.388447782490728,821,91,88
6.406666069571587,820,92,88
6.412282860212105,820,91,89
6.414888601153981,819,92,89
6.41593762303871,819,91,90
6.425616351835507,818,92,90
6.427765029580689,818,91,91
6.430573903739415,818,90,92
6.4312317123409874,817,91,92
6.432107103729917,816,92,92
6.4514965710302254,815,93,92
6.48618103246616,814,94,92
6.498999570308514,813,95,92
6.523261332111167,812,96,92
6.527446304700388,811,97,92
6.560533844289861,810,98,92
6.564225071453839,809,99,92
6.580241277028101,809,98,93
